DCO,F25,94588.26,95257.77,669.51,1883.43
DCO,J25,94176.88,94738.91,562.03,1581.07
DCO,N25,93819.13,94340.21,521.08,1465.87
DCO,V25,93024.92,93463.75,438.83,1234.49
DCO,F26,92515.71,92901.89,386.18,1086.38
DCO,J26,91673.39,92128.63,455.24,1280.65
DCO,N26,91046.03,91580.10,534.07,1502.41
DCO,F27,89675.70,90248.88,573.18,1612.44
DCO,F28,87207.28,87762.03,554.75,1560.59
DCO,F29,84831.70,85371.75,540.05,1519.24
DCO,F30,82384.78,82908.43,523.65,1473.10
DCO,F31,80144.07,80658.10,514.03,1446.04
DCO,F33,75994.17,76273.48,279.31,785.74
DCO,F35,72089.16,72333.61,244.45,687.67
DDI,K21,99483.41,100116.63,633.22,1781.34
DDI,M21,99420.98,100055.34,634.36,1784.54
DDI,N21,99348.16,99982.29,634.13,1783.90
DDI,Q21,99277.60,99907.14,629.54,1770.99
DDI,U21,99193.33,99831.24,637.91,1794.53
DDI,V21,99113.17,99744.50,631.33,1776.02
DDI,X21,99022.78,99653.38,630.60,1773.97
DDI,Z21,98930.11,99559.66,629.55,1771.01
DDI,F22,98837.33,99460.18,622.85,1752.17
DDI,G22,98762.01,99383.00,620.99,1746.93
DDI,H22,98693.94,99313.84,619.90,1743.87
DDI,J22,98589.44,99208.54,619.10,1741.62
DDI,N22,98348.17,98962.13,613.96,1727.16
DDI,V22,98086.33,98681.79,595.46,1675.11
DDI,F23,97812.43,98401.43,589.00,1656.94
DDI,J23,97531.04,98151.26,620.22,1744.77
DDI,N23,97261.51,97837.36,575.85,1619.95
DDI,V23,96918.43,97513.44,595.01,1673.85
DDI,F24,96480.95,97095.23,614.28,1728.06
DDI,J24,96076.49,96686.14,609.65,1715.03
DDI,N24,95707.64,96346.24,638.60,1796.47
DDI,V24,95195.39,95835.12,639.73,1799.65
DDI,F25,94588.26,95257.77,669.51,1883.43
DDI,J25,94176.88,94738.91,562.03,1581.07
DDI,N25,93819.13,94340.21,521.08,1465.87
DDI,V25,93024.92,93463.75,438.83,1234.49
DDI,F26,92515.71,92901.89,386.18,1086.38
DDI,J26,91673.39,92128.63,455.24,1280.65
DDI,N26,91046.03,91580.10,534.07,1502.41
DDI,F27,89675.70,90248.88,573.18,1612.44
DDI,F28,87207.28,87762.03,554.75,1560.59
DDI,F29,84831.70,85371.75,540.05,1519.24
DDI,F30,82384.78,82908.43,523.65,1473.10
DDI,F31,80144.07,80658.10,514.03,1446.04
DDI,F33,75994.17,76273.48,279.31,785.74
DDI,F35,72089.16,72333.61,244.45,687.67
DI1,K21,99823.01,99822.93,-0.08,0.08
DI1,M21,99548.82,99545.94,-2.88,2.88
DI1,N21,99234.30,99225.65,-8.65,8.65
DI1,Q21,98870.98,98856.14,-14.84,14.84
DI1,U21,98468.32,98445.70,-22.62,22.62
DI1,V21,98062.46,98030.64,-31.82,31.82
DI1,X21,97655.00,97618.11,-36.89,36.89
DI1,Z21,97229.47,97187.55,-41.92,41.92
DI1,F22,96679.50,96632.09,-47.41,47.41
DI1,G22,96201.57,96146.62,-54.95,54.95
DI1,H22,95689.94,95627.18,-62.76,62.76
DI1,J22,95118.60,95047.46,-71.14,71.14
DI1,N22,93387.50,93283.95,-103.55,103.55
DI1,V22,91441.95,91306.59,-135.36,135.36
DI1,F23,89545.78,89391.29,-154.49,154.49
DI1,J23,87588.90,87411.00,-177.90,177.90
DI1,N23,85639.98,85441.23,-198.75,198.75
DI1,V23,83565.77,83330.47,-235.30,235.30
DI1,F24,81758.24,81484.51,-273.73,273.73
DI1,J24,80045.02,79741.67,-303.35,303.35
DI1,N24,78115.11,77782.48,-332.63,332.63
DI1,V24,76253.89,75902.35,-351.54,351.54
DI1,F25,74413.24,74044.95,-368.29,368.29
DI1,J25,72640.88,72263.29,-377.59,377.59
DI1,N25,71106.09,70721.66,-384.43,384.43
DI1,V25,69224.28,68832.46,-391.82,391.82
DI1,F26,67718.40,67321.17,-397.23,397.23
DI1,J26,66189.19,65780.81,-408.38,408.38
DI1,N26,64691.72,64272.91,-418.81,418.81
DI1,F27,61498.73,61061.65,-437.08,437.08
DI1,F28,55892.62,55408.46,-484.16,484.16
DI1,F29,50774.65,50252.03,-522.62,522.62
DI1,F30,46223.48,45649.67,-573.81,573.81
DI1,F31,42082.91,41463.08,-619.83,619.83
DI1,F33,34484.41,33872.16,-612.25,612.25
DI1,F35,28299.39,27712.43,-586.96,586.96
DOL,K21,5607.1600,5642.8540,35.6940,1784.70
DOL,M21,5619.0740,5655.0910,36.0170,1800.85
DOL,N21,5632.7560,5669.2030,36.4470,1822.35
DOL,Q21,5649.4390,5686.1160,36.6770,1833.85
DOL,U21,5667.7250,5705.4850,37.7600,1888.00
DOL,V21,5686.5840,5724.6640,38.0800,1904.00
DOL,X21,5705.1030,5743.6040,38.5010,1925.05
DOL,Z21,5724.7090,5763.6240,38.9150,1945.75
DOL,F22,5751.8750,5790.9630,39.0880,1954.40
DOL,G22,5776.0460,5815.6860,39.6400,1982.00
DOL,H22,5802.9260,5843.2070,40.2810,2014.05
DOL,J22,5831.6010,5872.6130,41.0120,2050.60
DOL,N22,5925.1640,5968.7730,43.6090,2180.45
DOL,V22,6035.1190,6080.7590,45.6400,2282.00
DOL,F23,6145.7060,6193.3990,47.6930,2384.65
DOL,J23,6264.9360,6317.6070,52.6710,2633.55
DOL,N23,6389.8000,6442.5850,52.7850,2639.25
DOL,V23,6525.3040,6583.9040,58.6000,2930.00
DOL,F24,6639.4630,6704.1810,64.7180,3235.90
DOL,J24,6753.1390,6821.8440,68.7050,3435.25
